Sense-23
Annotation tool development
MLOps dvc
Audio Signal Processing
yolox
Object detection
Activity Tracking
Pose estimation
Data annotation
Image forgery
Automation learning
yolov5
Coursera CNN fundamentals
Coursera dl fundamentals
java script
node js
ganlab
Kaggle 30 days tutorial
opencv yolov3
opencv
deep learning
yolo
tensorflow js
automated time entry
scraping
Testing
Exploration
Study
Planning
Backend
Android R&D
iOS Issue Fix
iOS Refactoring
iOS Documentation & Planning
iOS Appointment Custom API Integration
iOS Appointment Details
iOS R&D
iOS VoIP R&D
iOS Appointment
iOS Dashboard
audio pronunciation check
iOS Login and Registration
jitsi scaling
Jitsi sdk rnd
Noise cancelling
Feature ensuring
Report OCR
Video conferencing platform exploration
Telemedicine solution exploration
Deployment
Body part identification
microservice infrastructure
UI and ux
report generation
report send to dcm4chee
ohif button fix
side panel
bug solving
Quality ensuring
SIIM model submission
Survey tool improvement
Alternative Pacs soluction
epad exploration
Clara Exploration
Study
RadAssist local file upload
Infra Set up
Frontend Task
Backend work
